Date,Open,High,Low,Close,Volume
2019-07-23,29.95,30.236,29.921,30.078,19691620
2019-07-24,30.12,30.488,30.05,30.377,19010440
2019-07-25,30.213,30.213,29.94,30.039,15740660
2019-07-26,30.159,30.3015,30.053,30.092,14995590
2019-07-29,30.123,30.255,29.6958,30.174,12068050
2019-07-30,29.909,30.093,29.71,29.956,11164390
2019-07-31,30.003,30.083,28.667,28.999,20819390
2019-08-01,28.913,29.782,28.232,28.534,21910690
2019-08-02,28.207,28.384,27.591,27.853,20079510
2019-08-05,27.195,27.224,26.408,26.766,27764820
2019-08-06,27.013,27.218,26.456,26.644,22199340
2019-08-07,26.403,27.2722,26.3,27.005,22244080
2019-08-08,27.038,27.256,26.25,27.098,29163380
2019-08-09,26.958,28.055,26.958,27.573,30734620
2019-08-12,27.338,27.821,27.254,27.564,20039690
2019-08-13,27.53,28.55,27.203,28.37,22941240
2019-08-14,27.879,28.0152,27.038,27.156,27108110
2019-08-15,27.2,27.278,26.485,26.864,20142330
2019-08-16,27.215,27.575,27.198,27.378,18203050
2019-08-19,27.95,28.0065,27.5613,27.878,17489100
2019-08-20,27.816,28.4955,27.701,28.037,17920710
2019-08-21,28.464,28.826,28.405,28.75,19384880
2019-08-22,28.839,28.941,28.455,28.762,12299400
2019-08-23,28.399,28.548,27.105,27.213,25762800
2019-08-26,27.695,27.795,27.5,27.722,14250160
2019-08-27,27.915,28.022,27.491,27.557,14298870
2019-08-28,27.433,27.641,27.047,27.606,17201950
2019-08-29,28.149,28.549,28.105,28.337,16430010
2019-08-30,28.536,28.59,27.99,28.264,16721150
2019-09-03,28.0,28.085,27.093,27.405,22210280
2019-09-04,27.879,28.435,27.82,28.302,19868350
2019-09-05,28.836,29.368,28.8355,29.102,20940580
2019-09-06,29.185,29.33,28.93,29.191,13747580
2019-09-09,29.5,29.72,29.04,29.261,21689050
2019-09-10,29.135,29.445,28.882,29.444,20851020
2019-09-11,29.632,29.878,29.455,29.801,19259890
2019-09-12,30.143,30.233,29.647,30.058,33109300
2019-09-13,29.765,29.799,28.389,29.032,62556960
2019-09-16,28.68,29.027,28.57,28.866,22175720
2019-09-17,28.802,28.93,28.375,28.883,22034730
2019-09-18,28.849,29.0755,28.388,28.774,17370650
2019-09-19,28.85,29.1945,28.723,29.064,19779180
2019-09-20,28.767,28.84,28.182,28.426,36893180
2019-09-23,28.362,28.716,28.208,28.546,15583790
2019-09-24,28.732,28.89,27.975,28.231,21042470
2019-09-25,27.175,27.721,27.0,27.577,55959040
2019-09-26,27.526,27.866,27.268,27.691,27652250
2019-09-27,27.663,28.1277,27.296,27.414,28942450
2019-09-30,27.579,27.672,27.25,27.607,20204100
2019-10-01,27.827,27.965,27.3382,27.485,19589150
2019-10-02,27.346,27.38,26.832,27.007,20002290
2019-10-03,27.0,27.45,26.722,27.443,19018690
2019-10-04,27.849,28.17,27.52,28.143,25916660
2019-10-07,28.001,28.102,27.57,27.608,19103030
2019-10-08,27.406,27.49,26.891,27.033,23067380
2019-10-09,27.368,27.491,27.202,27.315,16669270
2019-10-10,27.456,27.878,27.3655,27.445,18108860
2019-10-11,27.949,28.408,27.909,28.091,23890880
2019-10-14,28.042,28.265,27.988,28.166,13368950
2019-10-15,28.264,29.062,28.22,29.032,21499040
2019-10-16,28.9,29.01,28.654,28.848,20768930
2019-10-17,29.014,29.1715,28.832,28.943,13620190
2019-10-18,28.95,28.994,28.4,28.673,16980530
2019-10-21,28.844,29.19,28.706,28.957,13746680
2019-10-22,28.959,29.086,28.724,28.746,13440390
2019-10-23,28.296,28.354,27.876,28.032,20997890
2019-10-24,28.289,28.35,27.87,28.231,17159720
2019-10-25,28.326,29.137,28.3223,28.982,20868770
2019-10-28,29.116,29.248,28.832,29.155,12999410
2019-10-29,29.228,29.37,28.807,28.816,13272290
2019-10-30,29.001,29.097,28.652,29.024,17280680
2019-10-31,28.98,29.408,28.78,29.285,27880550
2019-11-01,29.299,29.659,29.209,29.659,21234010
2019-11-04,29.952,30.546,29.91,30.5,34075320
2019-11-05,30.5,31.678,30.447,31.404,38711460
2019-11-06,31.206,31.428,30.871,31.316,18075990
2019-11-07,31.558,31.95,31.065,31.174,23982550
2019-11-08,30.987,31.36,30.513,31.341,17830100
2019-11-11,31.12,31.324,31.084,31.275,9154450
2019-11-12,31.4,31.6405,31.3257,31.553,16880390
2019-11-13,31.248,31.5705,31.2,31.367,13347970
2019-11-14,31.075,31.1837,30.611,30.897,17271260
2019-11-15,31.227,31.306,31.0075,31.291,18120440
2019-11-18,31.182,31.341,30.803,31.107,15851060
2019-11-19,31.665,32.567,31.665,31.77,31746320
2019-11-20,31.59,31.683,30.9,31.167,19952470
2019-11-21,31.114,31.57,30.98,31.525,19317350
2019-11-22,31.664,31.948,31.371,31.492,13216430
2019-11-25,31.661,32.0184,31.627,31.962,19636630
2019-11-26,31.9,32.018,31.605,31.627,30801010
2019-11-27,31.794,31.994,31.647,31.844,20183440
2019-11-29,31.685,31.779,31.5,31.621,9229240
2019-12-02,31.772,31.793,31.056,31.072,23177090
2019-12-03,30.582,30.9,30.313,30.652,19123560
2019-12-04,30.975,31.137,30.713,30.972,14439540
2019-12-05,31.059,31.2459,30.906,31.119,15494530
2019-12-06,31.464,31.634,31.206,31.605,16939280
2019-12-09,31.6,31.715,31.394,31.438,24793030
2019-12-10,31.51,31.591,31.325,31.506,14566780
2019-12-11,31.518,32.135,31.518,31.972,20847550
2019-12-12,31.973,33.016,31.943,32.78,39187330
2019-12-13,31.806,31.977,31.062,31.542,70987110
2019-12-16,31.797,32.7599,31.753,32.313,37933280
2019-12-17,32.374,32.495,32.175,32.38,20252100
2019-12-18,32.44,33.12,32.355,32.744,35178810
2019-12-19,32.921,32.9255,32.371,32.41,31799040
2019-12-20,32.247,32.247,31.691,31.9,50542330
2019-12-23,32.054,32.2334,31.761,31.953,20254900
2019-12-24,32.0,32.068,31.901,32.05,7023760
2019-12-26,32.127,32.174,31.682,31.798,15857860
2019-12-27,31.93,31.935,31.522,31.653,14489160
2019-12-30,31.652,31.733,31.275,31.346,13104040
2019-12-31,31.312,31.636,31.28,31.602,12488870
2020-01-02,31.932,32.25,31.7318,32.239,19664110
2020-01-03,31.751,32.0,31.408,31.419,22876630
2020-01-06,31.0845,31.392,30.9625,31.372,20810810
2020-01-07,31.525,31.6577,31.225,31.264,18630620
2020-01-08,31.298,31.3491,30.841,30.874,32075460
2020-01-09,31.232,31.299,30.305,30.626,42450890
2020-01-10,30.545,30.555,29.88,29.922,40711430
2020-01-13,30.002,30.38,29.967,30.118,22054200
2020-01-14,30.2,30.915,30.159,30.818,28912870
2020-01-15,30.731,30.788,30.07,30.314,22732600
2020-01-16,30.5,30.786,30.4205,30.705,21507710
2020-01-17,30.866,30.894,30.407,30.879,26898040
2020-01-21,30.78,30.951,30.633,30.807,21968690
2020-01-22,31.08,31.792,31.05,31.288,29263820
2020-01-23,31.518,31.98,31.082,31.965,30266450
2020-01-24,33.05,33.158,32.077,32.4,55781520
2020-01-27,31.641,31.988,30.864,30.903,38843150
2020-01-28,31.353,31.923,31.2772,31.831,23165940
2020-01-29,32.082,32.543,31.714,31.751,23673010
2020-01-30,31.432,31.552,30.859,31.52,21128180
2020-01-31,31.416,31.4585,30.3622,30.516,22122970
2020-02-03,30.563,30.66,30.364,30.523,21289940
2020-02-04,31.179,31.4565,30.9655,31.16,22558730
2020-02-05,31.75,31.981,31.586,31.738,24824750
2020-02-06,31.884,31.988,31.423,31.969,22683110
2020-02-07,31.832,31.852,31.4865,31.523,15884050
2020-02-10,31.237,31.4595,31.03,31.42,19218100
2020-02-11,31.665,32.079,31.601,32.016,15527030
2020-02-12,32.204,32.509,32.163,32.47,15310200
2020-02-13,32.148,32.546,32.095,32.397,13856630
2020-02-14,32.484,32.57,31.71,31.777,19136640
2020-02-18,31.5,31.501,30.805,31.075,26703240
2020-02-19,31.3,31.683,31.17,31.569,20525250
2020-02-20,31.396,31.569,30.612,30.924,25520880
2020-02-21,30.85,30.945,30.229,30.45,24530900
2020-02-24,29.42,29.88,29.006,29.16,36848710
2020-02-25,29.411,29.573,28.107,28.268,31891980
2020-02-26,28.435,28.82,28.4,28.588,23088560
2020-02-27,28.03,28.531,27.354,27.395,34837090
2020-02-28,26.333,27.413,26.274,27.262,44604240
2020-03-02,27.676,28.54,27.1155,28.497,31976470
2020-03-03,28.465,28.848,27.157,27.425,29929680
2020-03-04,27.754,28.572,27.477,28.545,23477890
2020-03-05,27.726,28.309,27.245,27.404,24374130
2020-03-06,26.698,27.093,26.25,26.945,30168770
2020-03-09,25.108,26.027,24.4245,24.772,43933600
2020-03-10,25.659,26.368,24.34,26.29,55075310
2020-03-11,25.388,25.649,24.249,24.597,36043720
2020-03-12,22.699,24.276,21.632,21.878,64281110
2020-03-13,22.5505,23.4465,20.116,23.422,84713690
2020-03-16,20.818,21.88,18.0225,18.758,76935020
2020-03-17,19.182,20.001,18.1475,19.951,70661560
2020-03-18,18.566,18.748,15.567,16.787,98992620
2020-03-19,16.764,20.747,16.5,19.445,74438210
2020-03-20,20.2,20.868,18.791,19.222,74043670
2020-03-23,19.2884,19.597,17.775,19.347,46920520
2020-03-24,20.564,21.871,20.1294,21.276,62969770
2020-03-25,21.219,24.4,20.922,21.755,64442450
2020-03-26,22.603,24.48,22.603,24.317,60233430
2020-03-27,23.3,24.209,23.0,23.069,39447710
2020-03-30,23.22,24.136,22.844,24.011,52343490
2020-03-31,23.8,25.271,23.6059,23.71,50215310
2020-04-01,22.799,23.441,21.968,22.363,41858320
2020-04-02,22.24,23.795,22.1448,23.706,45048830
2020-04-03,23.664,24.255,23.055,23.426,28961480
2020-04-06,24.458,25.3414,24.356,25.244,38867860
2020-04-07,26.184,26.55,25.253,25.327,45892070
2020-04-08,25.677,26.22,25.364,26.11,27565460
2020-04-09,26.579,26.75,25.131,25.43,34827590
2020-04-13,25.35,26.152,25.28,25.992,25728580
2020-04-14,26.612,26.838,26.232,26.763,23096320
2020-04-15,26.1,26.2323,25.616,25.744,25926480
2020-04-16,26.176,26.176,25.411,25.829,26895920
2020-04-17,26.322,26.7425,25.894,26.588,34088800
2020-04-20,26.0,26.526,25.791,25.828,23801220
2020-04-21,25.456,25.479,24.68,24.765,29138050
2020-04-22,25.477,26.222,25.074,25.997,35441840
2020-04-23,26.025,26.52,25.852,25.893,21661690
2020-04-24,25.981,26.507,25.888,26.481,23425110
2020-04-27,26.435,27.122,26.435,26.845,16592490
2020-04-28,27.424,27.641,26.412,26.473,18992250
2020-04-29,27.108,27.699,26.923,27.602,28870690
2020-04-30,27.353,27.405,26.88,27.162,23379430
2020-05-01,26.6,26.7852,25.8204,25.97,26835610
2020-05-04,25.921,26.243,25.532,26.226,17046090
2020-05-05,26.655,26.894,26.371,26.487,26463590
2020-05-06,26.833,27.0479,26.362,26.418,22729930
2020-05-07,27.0,27.047,26.6,26.775,18247050
2020-05-08,27.22,27.555,27.003,27.503,16767000
2020-05-11,27.337,27.6738,27.175,27.54,20850970
2020-05-12,27.658,27.772,26.822,26.845,18763820
2020-05-13,27.007,27.033,25.936,26.315,21927400
2020-05-14,26.096,26.695,25.475,26.66,19911930
2020-05-15,25.942,26.406,25.677,26.041,21654220
2020-05-18,26.862,27.673,26.8,27.353,26537230
2020-05-19,27.353,27.603,27.161,27.195,18701790
2020-05-20,27.697,28.131,27.608,27.868,18605400
2020-05-21,27.892,27.95,27.465,27.48,14848950
2020-05-22,27.374,27.725,27.0505,27.665,17452840
2020-05-26,28.5,28.709,28.139,28.202,23572860
2020-05-27,28.302,28.78,28.0,28.759,22811610
2020-05-28,28.5,28.93,28.243,28.314,18555170
2020-05-29,28.29,29.2,28.191,29.127,27323830
2020-06-01,29.042,29.11,28.737,28.999,18447880
2020-06-02,29.103,29.832,29.009,29.806,31846920
2020-06-03,30.105,31.085,30.051,30.953,31925830
2020-06-04,30.575,31.3,30.21,30.889,34997390
2020-06-05,31.97,32.811,31.509,31.708,50961950
2020-06-08,31.75,31.884,31.336,31.752,23916100
2020-06-09,31.2,31.888,31.157,31.532,22334770
2020-06-10,31.665,31.921,31.47,31.504,25913650
2020-06-11,30.762,30.855,29.34,29.375,45114770
2020-06-12,30.282,30.395,29.273,30.025,39439170
2020-06-15,29.5,30.675,29.241,30.409,29872290
2020-06-16,31.0,31.455,30.4,31.072,30400100
2020-06-17,31.342,31.671,31.179,31.344,20279210
2020-06-18,31.212,31.9118,31.152,31.871,33624570
2020-06-19,31.768,31.81,30.277,30.277,58464640
2020-06-22,30.55,31.418,30.353,31.354,27194720
2020-06-23,31.506,31.744,31.129,31.13,22418980
2020-06-24,30.92,31.097,30.451,30.697,19097290
2020-06-25,30.606,30.948,30.3,30.885,15030110
2020-06-26,31.357,31.578,30.315,30.741,31425340
2020-06-29,30.807,31.041,30.4451,30.978,14516020
2020-06-30,30.995,31.707,30.675,31.561,25125420
2020-07-01,31.511,31.685,31.1935,31.273,15661970
2020-07-02,31.7747,31.938,31.4661,31.547,16638570
2020-07-06,32.0,32.099,31.734,31.879,17560700
2020-07-07,31.734,31.816,31.255,31.312,16153460
2020-07-08,31.614,31.984,31.412,31.957,18022630
2020-07-09,32.001,32.433,31.5245,32.15,25227860
2020-07-10,32.191,32.299,31.544,31.944,13281250
2020-07-13,32.168,32.353,31.0585,31.131,21549400
2020-07-14,30.899,31.622,30.519,31.508,18363170
2020-07-15,31.595,31.777,31.0166,31.378,15252830
2020-07-16,31.061,31.388,30.93,31.134,12930730
2020-07-17,31.415,31.521,31.0,31.271,13355120
2020-07-20,31.185,31.765,31.026,31.713,14325760
2020-07-21,31.923,31.923,31.267,31.434,14347620
2020-07-22,31.501,31.568,31.037,31.38,14404500
2020-07-23,31.337,31.609,30.838,30.967,19417190
2020-07-24,30.659,31.091,30.418,30.579,15634030
2020-07-27,30.83,31.296,30.7485,31.268,20646020
2020-07-28,31.118,31.211,30.616,30.735,13978480
2020-07-29,30.853,31.123,30.744,30.885,16561620
2020-07-30,30.6,31.293,30.6,31.21,21258530
2020-07-31,31.47,31.84,31.14,31.675,24720080
2020-08-03,31.8,32.349,31.728,32.123,20800360
2020-08-04,32.05,32.859,32.039,32.839,25260450
2020-08-05,32.825,33.158,32.58,32.954,22302110
2020-08-06,32.777,33.088,32.541,32.916,14192960
2020-08-07,32.839,32.973,32.148,32.593,14193320
2020-08-10,32.422,32.927,32.406,32.736,11990080
2020-08-11,32.757,33.332,32.276,32.403,19315960
2020-08-12,32.585,33.588,32.5355,33.364,18476430
2020-08-13,33.221,33.341,32.785,32.942,15097720
2020-08-14,32.802,32.985,32.6,32.782,10140050
2020-08-17,32.951,33.179,32.9,33.032,10594140
2020-08-18,33.186,33.318,32.814,32.864,8859360
2020-08-19,32.947,33.309,32.824,32.921,11273140
2020-08-20,32.769,32.999,32.606,32.883,8910270
2020-08-21,32.83,33.046,32.5,33.002,11508670
2020-08-24,33.201,33.619,33.114,33.4,11997510
2020-08-25,33.5,33.709,33.3,33.614,11143340
2020-08-26,33.474,34.151,33.351,33.967,14844030
2020-08-27,34.049,34.13,33.614,33.914,12552110
2020-08-28,33.9,34.482,33.77,34.482,14588730
2020-08-31,34.352,35.058,34.352,34.715,22228980
2020-09-01,35.0,36.207,34.742,35.954,29258970
2020-09-02,36.586,37.896,36.3567,37.501,37053380
2020-09-03,36.601,36.89,35.016,35.209,41794720
2020-09-04,36.097,37.253,35.35,36.295,58513730
2020-09-08,35.266,36.275,35.0,35.054,26685080
2020-09-09,35.616,36.185,35.11,36.003,26273240
2020-09-10,36.213,36.783,35.4385,35.708,22851320
2020-09-11,36.05,36.427,35.4681,35.97,17361980
2020-09-14,36.441,36.589,35.9345,36.22,16448540
2020-09-15,36.63,37.112,36.535,36.691,16617850
2020-09-16,36.818,37.2,36.635,36.704,18512090
2020-09-17,35.5,37.0115,35.5,36.592,22864230
2020-09-18,36.7122,36.784,35.505,35.973,35294810
2020-09-21,35.001,35.196,34.348,35.179,24198340
2020-09-22,35.637,36.18,35.295,36.159,19500250
2020-09-23,36.018,36.121,35.0045,35.159,15545370
2020-09-24,35.02,35.757,34.909,35.252,13613760
2020-09-25,35.205,35.772,34.828,35.68,18183420
2020-09-28,36.168,36.843,35.903,36.73,22191600
2020-09-29,36.749,37.08,36.3985,36.426,13829970
2020-09-30,36.295,37.1,36.171,36.432,22403280
2020-10-01,36.898,37.071,36.482,36.86,16018680
2020-10-02,36.0,36.492,35.615,35.683,17100210
2020-10-05,36.084,36.685,35.99,36.61,18923280
2020-10-06,36.611,37.2,36.202,36.398,16671930
2020-10-07,36.835,36.986,36.606,36.674,12750080
2020-10-08,36.989,37.429,36.831,37.333,17045350
2020-10-09,37.593,38.0,37.4,37.67,17255470
2020-10-12,38.179,38.51,37.979,38.243,18839480
2020-10-13,38.441,38.78,37.861,38.149,16731450
2020-10-14,38.354,38.3735,37.785,38.03,17301530
2020-10-15,37.505,38.049,37.502,37.993,14373540
2020-10-16,38.328,38.328,37.815,37.865,10297020
2020-10-19,38.124,38.3605,37.515,37.577,14802730
2020-10-20,37.701,38.1135,37.556,37.699,13296920
2020-10-21,37.577,37.686,37.031,37.205,11896350
2020-10-22,37.1075,37.431,36.711,37.337,13548420
2020-10-23,37.326,37.394,37.076,37.272,8868490
2020-10-26,36.96,36.9955,35.761,36.304,15508960
2020-10-27,36.518,36.518,35.922,35.96,9619960
2020-10-28,35.4,35.486,34.5525,34.721,22331440
2020-10-29,34.726,35.944,34.537,35.501,15697350
2020-10-30,34.939,35.299,34.442,34.963,18530260
2020-11-02,35.504,35.539,34.8345,35.125,11756540
2020-11-03,35.595,35.924,34.666,35.376,15457000
2020-11-04,36.048,36.898,35.714,36.463,21276610
2020-11-05,37.2357,38.265,37.201,38.087,21783420
2020-11-06,38.005,38.367,37.717,38.062,13546490
2020-11-09,38.91,39.389,37.501,37.554,24088380
2020-11-10,37.032,37.32,36.036,36.313,26784170
2020-11-11,37.086,37.714,36.855,37.592,15134180
2020-11-12,37.723,37.86,36.828,37.02,12174650
2020-11-13,37.5,37.733,37.158,37.35,10996880
2020-11-16,37.481,38.137,37.4,38.081,12102690
2020-11-17,37.866,38.244,37.703,38.06,11950920
2020-11-18,37.989,38.494,37.962,38.062,13518540
2020-11-19,37.772,38.484,37.435,38.433,14555370
2020-11-20,38.431,38.885,38.27,38.333,16148360
2020-11-23,38.537,38.915,38.3,38.7,12216040
2020-11-24,38.862,39.281,38.6175,39.223,13458350
2020-11-25,39.284,39.55,38.9,39.083,11788490
2020-11-27,39.315,39.917,39.3,39.495,6846330
2020-11-30,39.402,40.216,39.274,40.158,15453890
2020-12-01,40.346,40.668,40.012,40.457,18181540
2020-12-02,40.474,40.541,40.111,40.373,10033650
2020-12-03,40.45,40.664,39.81,39.98,16122110
2020-12-04,40.24,41.24,40.2385,41.168,20082710
2020-12-07,41.641,42.2842,41.334,42.089,19707490
2020-12-08,41.928,42.67,41.816,42.341,18120800
2020-12-09,41.947,42.61,41.367,41.622,20908460
2020-12-10,41.144,41.525,40.801,41.004,26243600
2020-12-11,40.4,40.7,39.828,40.582,26665100
2020-12-14,40.6529,41.43,40.6,41.18,26116110
2020-12-15,41.528,41.939,41.299,41.806,21221330
2020-12-16,41.8,42.7146,41.6965,42.49,23159540
2020-12-17,42.65,43.001,42.4545,42.61,17151760
2020-12-18,42.48,43.565,42.2,43.456,45243320
2020-12-21,42.815,43.2,42.37,42.888,19096060
2020-12-22,42.888,43.355,42.8,43.31,17938010
2020-12-23,43.5,43.6,42.508,42.546,10533660
2020-12-24,42.849,43.2,42.757,43.146,4122680
2020-12-28,43.434,43.727,43.115,43.188,10625240
2020-12-29,43.583,43.583,42.679,42.904,9593400
2020-12-30,43.167,43.8,43.01,43.483,10554980
2020-12-31,43.631,43.85,43.305,43.785,10211520
2021-01-04,43.933,44.224,42.1235,42.522,24172250
2021-01-05,42.505,42.939,42.24,42.81,15069120
2021-01-06,42.33,43.458,42.054,42.546,17226180
2021-01-07,43.2062,44.459,43.06,44.339,21269600
2021-01-08,44.7,44.999,43.8646,44.564,15273470
2021-01-11,44.061,44.878,44.042,44.576,11661680
2021-01-12,44.777,45.4758,44.56,44.939,13849010
2021-01-13,45.03,45.3493,44.8107,45.121,13118090
2021-01-14,45.351,45.85,45.133,45.207,19692430
2021-01-15,44.818,45.0,44.066,44.585,18167380
2021-01-19,44.828,45.949,44.828,45.927,18819350
2021-01-20,45.952,46.5789,45.5,46.188,14711160
2021-01-21,46.211,46.947,46.04,46.682,15754200
2021-01-22,46.3724,46.755,46.238,46.502,16247580
2021-01-25,46.956,47.0,45.608,46.479,14693910
2021-01-26,46.265,46.7034,46.188,46.387,10741740
2021-01-27,45.554,45.696,44.151,44.47,21857270
2021-01-28,45.553,45.848,44.703,45.174,16946120
2021-01-29,44.99,45.81,44.763,45.05,22071080
2021-02-01,45.585,46.9315,45.359,46.674,17028130
2021-02-02,46.976,47.697,46.8,47.688,16140830
2021-02-03,47.693,47.852,46.4585,46.519,17856990
2021-02-04,46.0,47.116,45.7481,47.063,15242650
2021-02-05,47.433,47.692,46.536,46.601,12489350
2021-02-08,46.875,47.342,46.558,47.27,17611310
2021-02-09,47.2,47.519,46.862,47.463,12759220
2021-02-10,47.721,47.7485,46.549,47.005,14590420
2021-02-11,47.369,47.935,46.919,47.839,17123540
2021-02-12,47.838,48.702,47.4885,48.632,13551910
2021-02-16,49.0875,49.478,48.702,48.913,15163380
2021-02-17,48.423,48.612,47.506,48.248,14085890
2021-02-18,48.023,48.541,47.5127,48.326,16714530
2021-02-19,48.725,49.514,48.6765,48.996,17994490
2021-02-22,48.4,48.661,47.5315,47.636,16967050
2021-02-23,47.114,47.462,45.606,47.19,21306080
2021-02-24,46.768,48.141,46.266,48.088,15125300
2021-02-25,47.475,47.9375,45.521,45.716,23147970
2021-02-26,46.753,47.576,46.074,46.987,22643470
2021-03-01,47.97,49.0,47.386,48.958,24682390
2021-03-02,49.037,49.086,47.96,48.051,18545740
2021-03-03,47.8,48.139,46.197,46.306,23991340
2021-03-04,46.167,46.7,44.143,44.359,34574690
2021-03-05,45.425,45.6,43.3,45.014,42414000
2021-03-08,44.683,44.796,41.926,42.125,45243280
2021-03-09,43.569,44.69,43.06,44.36,37884490
2021-03-10,44.735,45.403,43.51,43.759,19914280
2021-03-11,44.902,45.745,44.2092,45.369,26169550
2021-03-12,44.536,45.349,44.4519,45.117,18906070
2021-03-15,45.518,47.123,45.319,47.077,31299370
2021-03-16,47.127,48.4,46.7405,47.818,31190150
2021-03-17,47.03,48.727,47.001,48.359,23753580
2021-03-18,47.456,48.335,46.375,46.415,28743290
2021-03-19,45.705,47.6675,45.41,47.446,108602500
2021-03-22,47.291,48.128,47.167,47.528,31807050
2021-03-23,47.378,47.537,46.265,46.406,24711880
2021-03-24,46.945,46.999,45.687,45.727,20882740
2021-03-25,45.496,46.402,44.931,46.17,17538680
2021-03-26,45.664,48.3,45.664,48.204,28924530
2021-03-29,48.04,48.116,46.827,47.262,28411040
2021-03-30,46.388,46.4,45.162,45.616,27935200
2021-03-31,45.9,46.707,45.24,46.366,28684420
2021-04-01,47.207,47.658,46.92,47.595,23529510
2021-04-05,48.03,48.9635,47.682,48.848,22965660
2021-04-06,48.3115,48.822,47.774,48.387,18063000
2021-04-07,48.001,48.391,47.8,48.246,12073830
2021-04-08,48.798,48.798,48.012,48.548,18121020
2021-04-09,48.0,48.531,47.654,48.509,16617460
2021-04-12,48.193,48.542,47.86,48.367,23247760
2021-04-13,48.5,48.822,48.0289,48.496,15281100
2021-04-14,48.247,48.919,47.519,47.73,18223410
2021-04-15,48.164,48.2315,47.678,48.0,18371110
2021-04-16,48.048,48.178,47.678,47.879,16263840
2021-04-19,47.653,47.68,46.005,46.2,26318920
2021-04-20,46.001,46.2029,45.454,45.726,19128400
2021-04-21,45.522,46.034,45.26,45.979,25949370
2021-04-22,45.51,46.114,44.9,45.511,27057740
2021-04-23,45.849,46.785,45.75,46.613,22891670
2021-04-26,46.702,47.3825,46.3573,47.185,18271570
2021-04-27,47.37,47.426,46.506,46.635,13267210
2021-04-28,46.537,46.597,45.605,45.92,15939720
2021-04-29,46.969,46.969,45.903,46.629,14649940
2021-04-30,45.971,46.0733,45.384,45.62,19367640
2021-05-03,45.975,45.984,44.828,45.014,15097650
2021-05-04,44.722,44.77,43.731,44.454,23497230
2021-05-05,45.0414,45.144,44.237,44.383,16389810
2021-05-06,44.38,44.909,43.984,44.858,13496370
2021-05-07,45.459,45.838,44.92,45.258,11711640
2021-05-10,44.838,44.8532,43.5765,43.61,25238500
2021-05-11,42.5,44.176,42.305,44.007,17889130
2021-05-12,42.9286,43.086,41.914,42.238,29943190
2021-05-13,42.989,43.482,42.564,43.06,21842210
2021-05-14,43.639,44.512,43.205,44.162,16966130
2021-05-17,44.214,44.214,43.284,43.994,15724420
2021-05-18,44.392,44.4438,43.328,43.374,17824480
2021-05-19,42.6,44.25,42.57,44.172,21369310
2021-05-20,44.575,45.93,44.533,45.5,21888920
2021-05-21,45.799,45.799,44.934,45.124,13218150
2021-05-24,45.692,46.244,45.6355,45.919,14422590
2021-05-25,46.19,46.296,45.6495,45.954,9600270
2021-05-26,46.077,46.21,45.553,46.049,9874090
2021-05-27,46.0,46.844,45.9645,46.768,19098350
2021-05-28,47.0,47.462,46.768,47.233,19947620
2021-06-01,47.544,47.8,46.72,46.831,16277350
2021-06-02,47.183,47.77,46.947,47.373,13286400
2021-06-03,46.88,46.976,46.326,46.48,20388960
2021-06-04,47.05,47.84,46.952,47.5,23867160
2021-06-07,47.3,47.448,46.247,46.378,24141600
2021-06-08,46.805,47.239,46.351,46.353,16615650
2021-06-09,46.719,46.719,46.1715,46.393,12127810
2021-06-10,46.55,46.954,46.021,46.867,15415040
2021-06-11,46.844,47.213,46.7145,47.07,14508400
2021-06-14,47.049,47.59,46.606,47.583,14676170
2021-06-15,47.656,47.657,46.855,47.074,11131220
2021-06-16,47.027,47.112,46.148,46.575,20438030
2021-06-17,46.488,47.524,46.394,47.117,20880790
2021-06-18,46.727,46.9755,46.0505,46.35,28536890
2021-06-21,46.117,46.538,45.844,46.461,18591790
2021-06-22,46.658,46.858,46.132,46.445,13721970
2021-06-23,46.386,46.7875,46.3035,46.666,17674120
2021-06-24,46.989,47.365,46.86,47.006,12502720
2021-06-25,47.135,47.245,46.0,46.22,19099570
2021-06-28,46.6,47.629,46.551,47.28,13986740
2021-06-29,47.237,47.731,47.074,47.715,14184300
2021-06-30,47.813,47.859,47.2525,47.684,15382680
2021-07-01,47.784,47.784,46.893,46.964,11153740
2021-07-02,47.6771,47.858,45.571,46.817,37058590
2021-07-06,47.04,47.675,46.83,47.328,13871360
2021-07-07,47.5,47.536,46.637,46.954,12581750
2021-07-08,46.442,47.108,46.156,47.05,16011600
2021-07-09,46.957,48.088,46.803,48.018,16783440
2021-07-12,48.132,49.402,47.326,48.575,33141610
2021-07-13,48.533,48.753,48.2,48.401,11806460
2021-07-14,48.92,49.2,48.0745,48.159,14019870
2021-07-15,48.328,48.445,47.312,47.734,12624880
2021-07-16,47.906,48.028,46.726,46.807,13981470
2021-07-19,46.348,46.597,45.759,46.567,14938780
2021-07-20,46.789,47.225,46.327,46.859,20727790
2021-07-21,46.963,47.928,46.85,47.902,13660680
2021-07-22,47.66,47.899,47.451,47.633,12583960
2021-07-23,48.003,48.358,47.683,48.315,13489200
2021-07-26,48.216,48.362,47.968,48.224,11160870
2021-07-27,48.076,48.181,46.78,47.536,14715210
2021-07-28,47.67,47.908,47.432,47.765,8361850
2021-07-29,47.8465,48.5825,47.744,48.411,9161720
2021-07-30,48.196,48.634,47.957,48.54,11548270
2021-08-02,48.905,49.46,48.351,48.468,15621640
